description,id,brand,category,withdrawn_from_range,merged,n_tokens
"""Запчасти для смесителей"" LM8700C Излив в сборе для LM1051C, хром",82790015-5d0a-a001-11e7-56ff0e06dc2a,Lemark,Запчасти для смесителей,True,"""Запчасти для смесителей"" LM8700C Излив в сборе для LM1051C, хром | Brand: Lemark | Category: Запчасти для смесителей",56
"""Запчасти для смесителей"" LM8526С Переключатель - дивертор кнопочный для ""Посейдон""",838f001c-c0e5-7ee7-11df-d1c6f644e33a,Lemark,Запчасти для смесителей,True,"""Запчасти для смесителей"" LM8526С Переключатель - дивертор кнопочный для ""Посейдон"" | Brand: Lemark | Category: Запчасти для смесителей",59
HB54 Кран-букс для смесителей (переключатель в корпусе),8263001e-6749-51e8-11e7-444f48e9b099,Haiba,Запчасти для смесителей,True,HB54 Кран-букс для смесителей (переключатель в корпусе) | Brand: Haiba | Category: Запчасти для смесителей,47
"""Аксессуары"" LM8074CG Стойка душевая 810 мм с магнитным кронштейном, хром/зол, блистер",82790015-5d0a-a001-11e7-57cc33911a15,Lemark,Душ,True,"""Аксессуары"" LM8074CG Стойка душевая 810 мм с магнитным кронштейном, хром/зол, блистер | Brand: Lemark | Category: Душ",63
Душевая система ПРОФСАН ПСМ-301-8 STEEL нержавеющая сталь AISI-304 тип См-ВДшОРНТрА Черный-бронза PS,846b0015-5d0a-a001-11eb-306c674aaa11,ПРОФСАН,Душ,True,Душевая система ПРОФСАН ПСМ-301-8 STEEL нержавеющая сталь AISI-304 тип См-ВДшОРНТрА Черный-бронза PS | Brand: ПРОФСАН | Category: Душ,75
Душевая система ПРОФСАН ПСМ-300-8 STEEL нержавеющая сталь AISI-304 тип См-ВДшОРНТрА PSM-300-8 (евро,846b0015-5d0a-a001-11eb-306cf2f8c8f7,ПРОФСАН,Душ,True,Душевая система ПРОФСАН ПСМ-300-8 STEEL нержавеющая сталь AISI-304 тип См-ВДшОРНТрА PSM-300-8 (евро | Brand: ПРОФСАН | Category: Душ,74
"""Эксперт"" LM5082S-Blue Смеситель для кухни, с гибким изливом и 2х-функциональным аэратором, сталь/си",846b0015-5d0a-a001-11eb-1359619d33f1,Lemark,Смесители,True,"""Эксперт"" LM5082S-Blue Смеситель для кухни, с гибким изливом и 2х-функциональным аэратором, сталь/си | Brand: Lemark | Category: Смесители",68
"""Эксперт"" LM5082S-Green Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь/",846b0015-5d0a-a001-11eb-1359b5caff5f,Lemark,Смесители,True,"""Эксперт"" LM5082S-Green Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь/ | Brand: Lemark | Category: Смесители",67
"""Эксперт"" LM5082S-Red Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь/кр",846b0015-5d0a-a001-11eb-1359d5e8f3fb,Lemark,Смесители,True,"""Эксперт"" LM5082S-Red Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь/кр | Brand: Lemark | Category: Смесители",69
"""Эксперт"" LM5082S-Violet Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь",846b0015-5d0a-a001-11eb-1359fa005c58,Lemark,Смесители,True,"""Эксперт"" LM5082S-Violet Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь | Brand: Lemark | Category: Смесители",66
"""Эксперт"" LM5061G Смеситель для кухни с подключением к фильтру питьевой воды, золото",846b0015-5d0a-a001-11eb-1cdd4f760ee5,Lemark,Смесители,True,"""Эксперт"" LM5061G Смеситель для кухни с подключением к фильтру питьевой воды, золото | Brand: Lemark | Category: Смесители",55
"W40-39 Смеситель одноручный (40 мм) на борт ванны, на 3 отверстия, хром/бел",846b0015-5d0a-a001-11eb-1cc78f8b677b,Rossinka,Смесители,True,"W40-39 Смеситель одноручный (40 мм) на борт ванны, на 3 отверстия, хром/бел | Brand: Rossinka | Category: Смесители",52
CN2008 Смеситель для душа,846b0015-5d0a-a001-11eb-0ec922d09a09,Cron,Смесители,True,CN2008 Смеситель для душа | Brand: Cron | Category: Смесители,24
"Смеситель для умывальника, Tring, Milardo, TRISB01M01",846b0015-5d0a-a001-11eb-03dca56bb880,Milardo,Смесители,True,"Смеситель для умывальника, Tring, Milardo, TRISB01M01 | Brand: Milardo | Category: Смесители",36
"Смеситель для ванны, черный, Ray, IDDIS, RAYBL02i02",846b0015-5d0a-a001-11eb-0c7ac5c8f7e8,IDDIS,Смесители,True,"Смеситель для ванны, черный, Ray, IDDIS, RAYBL02i02 | Brand: IDDIS | Category: Смесители",35
"Смеситель для душа, YA33177C, Vane, комплектный",846b0015-5d0a-a001-11eb-233f5f7a1f41,IDDIS,Смесители,True,"Смеситель для душа, YA33177C, Vane, комплектный | Brand: IDDIS | Category: Смесители",35
"HB70176 Смеситель для кухни с гайкой, хром",846b0015-5d0a-a001-11eb-295c92378894,Haiba,Смесители,True,"HB70176 Смеситель для кухни с гайкой, хром | Brand: Haiba | Category: Смесители",34
"HB70572 Смеситель для кухни с гайкой, хром",846b0015-5d0a-a001-11eb-2960f9a39fc8,Haiba,Смесители,True,"HB70572 Смеситель для кухни с гайкой, хром | Brand: Haiba | Category: Смесители",34
HB70505 Смеситель для кухни (латунь),846b0015-5d0a-a001-11eb-298ec415ca59,Haiba,Смесители,True,HB70505 Смеситель для кухни (латунь) | Brand: Haiba | Category: Смесители,30
"HB4101-2 Смеситель однорычажный для кухни с гайкой, хром",846b0015-5d0a-a001-11eb-298fa4c7a20a,Haiba,Смесители,True,"HB4101-2 Смеситель однорычажный для кухни с гайкой, хром | Brand: Haiba | Category: Смесители",43
"HB4103-2 Смеситель однорычажный для кухни с гайкой, хром",846b0015-5d0a-a001-11eb-29900d5cc1f1,Haiba,Смесители,True,"HB4103-2 Смеситель однорычажный для кухни с гайкой, хром | Brand: Haiba | Category: Смесители",43
HB4321 Смеситель однорычажный для кухни с допол. выходом для подключения фильтра питьевой воды хром,846b0015-5d0a-a001-11eb-2990ba22488f,Haiba,Смесители,True,HB4321 Смеситель однорычажный для кухни с допол. выходом для подключения фильтра питьевой воды хром | Brand: Haiba | Category: Смесители,58
"HB1021-5 Смеситель однорычажный для раковины, сатин",846b0015-5d0a-a001-11eb-299108c4c6c9,Haiba,Смесители,True,"HB1021-5 Смеситель однорычажный для раковины, сатин | Brand: Haiba | Category: Смесители",39
Смеситель для ванны с душем ПРОФСАН ПСМ-301-1 STEEL нержавеющая сталь AISI-304 тип См-ВОРНШлА Черный,846b0015-5d0a-a001-11eb-30674bf0656e,ПРОФСАН,Смесители,True,Смеситель для ванны с душем ПРОФСАН ПСМ-301-1 STEEL нержавеющая сталь AISI-304 тип См-ВОРНШлА Черный | Brand: ПРОФСАН | Category: Смесители,74
Смеситель для кухни ПРОФСАН ПСМ-301-3 STEEL нержавеющая сталь AISI-304 тип См-МОЦБА Черный-бронза PS,846b0015-5d0a-a001-11eb-306a53d6f13a,ПРОФСАН,Смесители,True,Смеситель для кухни ПРОФСАН ПСМ-301-3 STEEL нержавеющая сталь AISI-304 тип См-МОЦБА Черный-бронза PS | Brand: ПРОФСАН | Category: Смесители,75
Смеситель для раковины ПРОФСАН ПСМ-301-5 STEEL нержавеющая сталь AISI-304 тип См-УмОЦБА Черный-бронз,846b0015-5d0a-a001-11eb-306b3bb633d0,ПРОФСАН,Смесители,True,Смеситель для раковины ПРОФСАН ПСМ-301-5 STEEL нержавеющая сталь AISI-304 тип См-УмОЦБА Черный-бронз | Brand: ПРОФСАН | Category: Смесители,75
"Смеситель для ванны с душем ПРОФСАН ЭЛИТ тип См-ВОРНШлА PSM-100-1 (евро эксцентрик, картридж 35 мм)",846b0015-5d0a-a001-11eb-30795e3b8be7,ПРОФСАН,Смесители,True,"Смеситель для ванны с душем ПРОФСАН ЭЛИТ тип См-ВОРНШлА PSM-100-1 (евро эксцентрик, картридж 35 мм) | Brand: ПРОФСАН | Category: Смесители",79
"Смеситель для ванны с душем ПРОФСАН ЭЛИТ тип См-ВУОРНШлА PSM-100-2 (евро эксцентрик, картридж 35 мм)",846b0015-5d0a-a001-11eb-30799dbfc071,ПРОФСАН,Смесители,True,"Смеситель для ванны с душем ПРОФСАН ЭЛИТ тип См-ВУОРНШлА PSM-100-2 (евро эксцентрик, картридж 35 мм) | Brand: ПРОФСАН | Category: Смесители",80
"Смеситель для кухни ПРОФСАН ЭЛИТ тип См-МОЦБА PSM-100-3 (с подводкой, картридж 35 мм)",846b0015-5d0a-a001-11eb-3079cee2e2e9,ПРОФСАН,Смесители,True,"Смеситель для кухни ПРОФСАН ЭЛИТ тип См-МОЦБА PSM-100-3 (с подводкой, картридж 35 мм) | Brand: ПРОФСАН | Category: Смесители",69
Полка угловая хром 2-ая W2672C-2,846b0015-5d0a-a001-11eb-1460790b0159,Аквалиния,Аксессуары для ванной комнаты,True,Полка угловая хром 2-ая W2672C-2 | Brand: Аквалиния | Category: Аксессуары для ванной комнаты,48
"""Черный металл"" Ерш сантехнический, черный B1034P-5",846b0015-5d0a-a001-11eb-1753d079c1d2,Аквалиния,Аксессуары для ванной комнаты,True,"""Черный металл"" Ерш сантехнический, черный B1034P-5 | Brand: Аквалиния | Category: Аксессуары для ванной комнаты",57
"Полка стеклянная с бортиком, стекло, сплав металлов, Cadiss Milardo, CADSMG0M44",846b0015-5d0a-a001-11eb-27fce317c880,Milardo,Аксессуары для ванной комнаты,True,"Полка стеклянная с бортиком, стекло, сплав металлов, Cadiss Milardo, CADSMG0M44 | Brand: Milardo | Category: Аксессуары для ванной комнаты",61
"Полотенцесушитель, сплав металлов, Cadiss, Milardo, CADSM10M49",846b0015-5d0a-a001-11eb-27fd19b9d07c,Milardo,Аксессуары для ванной комнаты,True,"Полотенцесушитель, сплав металлов, Cadiss, Milardo, CADSM10M49 | Brand: Milardo | Category: Аксессуары для ванной комнаты",52
"Умывальник мебельный, 40х20 см, 001, IDDIS/Milardo, 0014000U28 (тумба приобретается отдельно)",846b0015-5d0a-a001-11eb-0e12986998cd,IDDIS,Мебель для ванной,True,"Умывальник мебельный, 40х20 см, 001, IDDIS/Milardo, 0014000U28 (тумба приобретается отдельно) | Brand: IDDIS | Category: Мебель для ванной",62
"Умывальник мебельный, 80 см, 010, IDDIS, 0108000i28",846b0015-5d0a-a001-11eb-1ccb4c539ce0,IDDIS,Мебель для ванной,True,"Умывальник мебельный, 80 см, 010, IDDIS, 0108000i28 | Brand: IDDIS | Category: Мебель для ванной",42
"Зеркало 80 см, Cloud, IDDIS, CLO8000i98",846b0015-5d0a-a001-11eb-1ccba1522098,IDDIS,Мебель для ванной,True,"Зеркало 80 см, Cloud, IDDIS, CLO8000i98 | Brand: IDDIS | Category: Мебель для ванной",35
"Зеркало 80 см, Brick, IDDIS, BRI8000i98",846b0015-5d0a-a001-11eb-23356472819c,IDDIS,Мебель для ванной,True,"Зеркало 80 см, Brick, IDDIS, BRI8000i98 | Brand: IDDIS | Category: Мебель для ванной",35
"Зеркало 100 см, Brick, IDDIS, BRI1000i98",846b0015-5d0a-a001-11eb-2335a4b9cddd,IDDIS,Мебель для ванной,True,"Зеркало 100 см, Brick, IDDIS, BRI1000i98 | Brand: IDDIS | Category: Мебель для ванной",35
"Пенал подвесной, 40 см, Brick, белый, IDDIS, BRI40W0i97",846b0015-5d0a-a001-11eb-2335e5e11162,IDDIS,Мебель для ванной,True,"Пенал подвесной, 40 см, Brick, белый, IDDIS, BRI40W0i97 | Brand: IDDIS | Category: Мебель для ванной",44
