id,description,brand,withdrawn_from_range,category,unique_key,updated_at
82790015-5d0a-a001-11e7-56ff0e06dc2a,"""Запчасти для смесителей"" LM8700C Излив в сборе для LM1051C, хром",Lemark,True,Запчасти для смесителей,-8832516776677526135,2025-03-28 03:00:15.594682+00:00
838f001c-c0e5-7ee7-11df-d1c6f644e33a,"""Запчасти для смесителей"" LM8526С Переключатель - дивертор кнопочный для ""Посейдон""",Lemark,True,Запчасти для смесителей,2385683518996337818,2025-03-28 03:00:15.594682+00:00
8263001e-6749-51e8-11e7-444f48e9b099,HB54 Кран-букс для смесителей (переключатель в корпусе),Haiba,True,Запчасти для смесителей,-4311099911686462165,2025-03-28 03:00:15.594682+00:00
86920027-0e37-9cfd-11e2-021058a26c50,"""Запчасти для смесителей"" LM8553С Переключатель - дивертор для ""Юнит"" LM4502C",Lemark,True,Запчасти для смесителей,2939172288687260672,2025-03-28 03:00:15.594682+00:00
82790015-5d0a-a001-11e7-57cc33911a15,"""Аксессуары"" LM8074CG Стойка душевая 810 мм с магнитным кронштейном, хром/зол, блистер",Lemark,True,Душ,2364355986950912843,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-ba143d6adf2a,Душевая система со смесителем AVRORA Logo AV3440,Avrora,True,Душ,5557452553802745184,2025-03-28 03:00:15.594682+00:00
86f8001e-6749-51e8-11e5-2a01aed4ba4a,"DA1424701D08 Душевая стойка, хром",D&K,True,Душ,5461956202779595705,2025-03-28 03:00:15.594682+00:00
8aef0015-5d3c-8c01-11ec-d6685118a906,"""Аксессуары"" LM8123BL Лейка душевая 3-функциональная 80х260 мм, черный",Lemark,True,Душ,-5242230401805926875,2025-03-28 03:00:15.594682+00:00
846b0015-5d0a-a001-11eb-1cdd4f760ee5,"""Эксперт"" LM5061G Смеситель для кухни с подключением к фильтру питьевой воды, золото",Lemark,True,Смесители,-4945794507507523501,2025-03-28 03:00:15.594682+00:00
846b0015-5d0a-a001-11eb-295c92378894,"HB70176 Смеситель для кухни с гайкой, хром",Haiba,True,Смесители,1811335095584154949,2025-03-28 03:00:15.594682+00:00
846b0015-5d0a-a001-11eb-298ec415ca59,HB70505 Смеситель для кухни (латунь),Haiba,True,Смесители,7917877299352628797,2025-03-28 03:00:15.594682+00:00
846b0015-5d0a-a001-11eb-233f5f7a1f41,"Смеситель для душа, YA33177C, Vane, комплектный",IDDIS,True,Смесители,210165854356592682,2025-03-28 03:00:15.594682+00:00
846b0015-5d0a-a001-11eb-2990ba22488f,HB4321 Смеситель однорычажный для кухни с допол. выходом для подключения фильтра питьевой воды хром,Haiba,True,Смесители,7630798292606553500,2025-03-28 03:00:15.594682+00:00
846b0015-5d0a-a001-11eb-306a53d6f13a,Смеситель для кухни ПРОФСАН ПСМ-301-3 STEEL нержавеющая сталь AISI-304 тип См-МОЦБА Черный-бронза PS,ПРОФСАН,True,Смесители,7972191438442332697,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-9b6628aee944,"DA1432126 Смеситель для раковины, белый матовый",D&K,True,Смесители,-7801213420582911662,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-ba1232a49d5b,Смеситель для кухни AVRORA Line AV3121 с высоким поворотным изливом,Avrora,True,Смесители,8236432241332815836,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-ba12a2a6d861,Смеситель для кухни AVRORA Elite AV3221 с высоким поворотным изливом в матовом черном цвете,Avrora,True,Смесители,420917922942144157,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-ba12b89589f1,Смеситель для ванны AVRORA Elite AV3231 с коротким изливом в матовом черном цвете,Avrora,True,Смесители,9176719746309091499,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-ba130354c2b2,Смеситель для кухни AVRORA Pulse AV2021 с высоким поворотным изливом,Avrora,True,Смесители,4402949017273407022,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-ba134f10c240,Смеситель для умывальника AVRORA Mirro AV3310 монолитный,Avrora,True,Смесители,-423645234294225887,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-ba136316a8ea,Смеситель для кухни AVRORA Mirro AV3320 с низким поворотным изливом,Avrora,True,Смесители,2429910773860656845,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-ba138c9b35f8,Смеситель для кухни AVRORA Mirro AV3321 с высоким поворотным изливом,Avrora,True,Смесители,82067837648910848,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-ba13e873eac4,Смеситель для умывальника AVRORA Logo AV3412 высокий монолитный,Avrora,True,Смесители,-1700828628161164553,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-ba14002552f4,Смеситель для кухни AVRORA Logo AV3421 с высоким поворотным изливом,Avrora,True,Смесители,-9058363039663995320,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-ba14282c9856,Смеситель для ванны AVRORA Logo AV3431 с коротким изливом,Avrora,True,Смесители,8574371692454324087,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-bc5877ebde92,"RS50-52 Смеситель термостатический с гигиеническим душем, хром",Rossinka,True,Смесители,5590266945314157523,2025-03-28 03:00:15.594682+00:00
86920027-0e37-9cfd-11e1-fd52bb97e128,"B35-51 Смеситель для биде, хром",Rossinka,True,Смесители,6576260942762744447,2025-03-28 03:00:15.594682+00:00
8a610015-5d0a-a001-11e9-b1da21439b04,"HB10589 Смеситель однорычажный для раковины, хром",Haiba,True,Смесители,-3730708304302661738,2025-03-28 03:00:15.594682+00:00
8a610015-5d0a-a001-11e9-b1da955d44ca,HB70505-8 Смеситель для кухни (латунь) белый/хром,Haiba,True,Смесители,-4907505961548193792,2025-03-28 03:00:15.594682+00:00
8aa70015-5d0a-a001-11e9-3fdd8ee4646e,"""Контест"" LM5819CW Смеситель с гигиеническим душем, встраиваемый, хром/белый",Lemark,True,Смесители,-8577373348291481761,2025-03-28 03:00:15.594682+00:00
846b0015-5d0a-a001-11eb-1460790b0159,Полка угловая хром 2-ая W2672C-2,Аквалиния,True,Аксессуары для ванной комнаты,-4968250444303939218,2025-03-28 03:00:15.594682+00:00
846b0015-5d0a-a001-11eb-1753d079c1d2,"""Черный металл"" Ерш сантехнический, черный B1034P-5",Аквалиния,True,Аксессуары для ванной комнаты,-1429896409979323874,2025-03-28 03:00:15.594682+00:00
846b0015-5d0a-a001-11eb-3305e9ca1044,"""Alien"" Дозатор для ж/мыла керамика CE1727AA-LD",Аквалиния,True,Аксессуары для ванной комнаты,-7510835532694579096,2025-03-28 03:00:15.594682+00:00
846b0015-5d0a-a001-11eb-3307d460c119,"""Soft Мокачино"" Дозатор для ж/мыла керамика B4333A-1М",Аквалиния,True,Аксессуары для ванной комнаты,-8206815591796451345,2025-03-28 03:00:15.594682+00:00
