id,description,brand,withdrawn_from_range,category,merged,unique_key,updated_at
82790015-5d0a-a001-11e7-56ff0e06dc2a,"""Запчасти для смесителей"" LM8700C Излив в сборе для LM1051C, хром",Lemark,True,Запчасти для смесителей,"""Запчасти для смесителей"" LM8700C Излив в сборе для LM1051C, хром | Brand: Lemark | Category: Запчасти для смесителей",,2025-03-28 12:56:02.352939+00:00
838f001c-c0e5-7ee7-11df-d1c6f644e33a,"""Запчасти для смесителей"" LM8526С Переключатель - дивертор кнопочный для ""Посейдон""",Lemark,True,Запчасти для смесителей,"""Запчасти для смесителей"" LM8526С Переключатель - дивертор кнопочный для ""Посейдон"" | Brand: Lemark | Category: Запчасти для смесителей",,2025-03-28 12:56:02.352939+00:00
82790015-5d0a-a001-11e7-57cc33911a15,"""Аксессуары"" LM8074CG Стойка душевая 810 мм с магнитным кронштейном, хром/зол, блистер",Lemark,True,Душ,"""Аксессуары"" LM8074CG Стойка душевая 810 мм с магнитным кронштейном, хром/зол, блистер | Brand: Lemark | Category: Душ",,2025-03-28 12:56:02.352939+00:00
846b0015-5d0a-a001-11eb-1359619d33f1,"""Эксперт"" LM5082S-Blue Смеситель для кухни, с гибким изливом и 2х-функциональным аэратором, сталь/си",Lemark,True,Смесители,"""Эксперт"" LM5082S-Blue Смеситель для кухни, с гибким изливом и 2х-функциональным аэратором, сталь/си | Brand: Lemark | Category: Смесители",,2025-03-28 12:56:02.352939+00:00
846b0015-5d0a-a001-11eb-0ec922d09a09,CN2008 Смеситель для душа,Cron,True,Смесители,CN2008 Смеситель для душа | Brand: Cron | Category: Смесители,,2025-03-28 12:56:02.352939+00:00
846b0015-5d0a-a001-11eb-03dca56bb880,"Смеситель для умывальника, Tring, Milardo, TRISB01M01",Milardo,True,Смесители,"Смеситель для умывальника, Tring, Milardo, TRISB01M01 | Brand: Milardo | Category: Смесители",,2025-03-28 12:56:02.352939+00:00
846b0015-5d0a-a001-11eb-0c7ac5c8f7e8,"Смеситель для ванны, черный, Ray, IDDIS, RAYBL02i02",IDDIS,True,Смесители,"Смеситель для ванны, черный, Ray, IDDIS, RAYBL02i02 | Brand: IDDIS | Category: Смесители",,2025-03-28 12:56:02.352939+00:00
846b0015-5d0a-a001-11eb-2960f9a39fc8,"HB70572 Смеситель для кухни с гайкой, хром",Haiba,True,Смесители,"HB70572 Смеситель для кухни с гайкой, хром | Brand: Haiba | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-298ec415ca59,HB70505 Смеситель для кухни (латунь),Haiba,True,Смесители,HB70505 Смеситель для кухни (латунь) | Brand: Haiba | Category: Смесители,-2.7607186039244547e+17,2025-03-28 10:10:51.104148+00:00
846b0015-5d0a-a001-11eb-298fa4c7a20a,"HB4101-2 Смеситель однорычажный для кухни с гайкой, хром",Haiba,True,Смесители,"HB4101-2 Смеситель однорычажный для кухни с гайкой, хром | Brand: Haiba | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-29900d5cc1f1,"HB4103-2 Смеситель однорычажный для кухни с гайкой, хром",Haiba,True,Смесители,"HB4103-2 Смеситель однорычажный для кухни с гайкой, хром | Brand: Haiba | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-2990ba22488f,HB4321 Смеситель однорычажный для кухни с допол. выходом для подключения фильтра питьевой воды хром,Haiba,True,Смесители,HB4321 Смеситель однорычажный для кухни с допол. выходом для подключения фильтра питьевой воды хром | Brand: Haiba | Category: Смесители,-5.88249226759235e+18,2025-03-28 10:10:51.104148+00:00
846b0015-5d0a-a001-11eb-30674bf0656e,Смеситель для ванны с душем ПРОФСАН ПСМ-301-1 STEEL нержавеющая сталь AISI-304 тип См-ВОРНШлА Черный,ПРОФСАН,True,Смесители,Смеситель для ванны с душем ПРОФСАН ПСМ-301-1 STEEL нержавеющая сталь AISI-304 тип См-ВОРНШлА Черный | Brand: ПРОФСАН | Category: Смесители,,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-3079cee2e2e9,"Смеситель для кухни ПРОФСАН ЭЛИТ тип См-МОЦБА PSM-100-3 (с подводкой, картридж 35 мм)",ПРОФСАН,True,Смесители,"Смеситель для кухни ПРОФСАН ЭЛИТ тип См-МОЦБА PSM-100-3 (с подводкой, картридж 35 мм) | Brand: ПРОФСАН | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-1460790b0159,Полка угловая хром 2-ая W2672C-2,Аквалиния,True,Аксессуары для ванной комнаты,Полка угловая хром 2-ая W2672C-2 | Brand: Аквалиния | Category: Аксессуары для ванной комнаты,4.3898172254692347e+18,2025-03-28 10:10:51.104148+00:00
846b0015-5d0a-a001-11eb-0e12986998cd,"Умывальник мебельный, 40х20 см, 001, IDDIS/Milardo, 0014000U28 (тумба приобретается отдельно)",IDDIS,True,Мебель для ванной,"Умывальник мебельный, 40х20 см, 001, IDDIS/Milardo, 0014000U28 (тумба приобретается отдельно) | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 12:56:02.352939+00:00
846b0015-5d0a-a001-11eb-1ccba1522098,"Зеркало 80 см, Cloud, IDDIS, CLO8000i98",IDDIS,True,Мебель для ванной,"Зеркало 80 см, Cloud, IDDIS, CLO8000i98 | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-2335e5e11162,"Пенал подвесной, 40 см, Brick, белый, IDDIS, BRI40W0i97",IDDIS,True,Мебель для ванной,"Пенал подвесной, 40 см, Brick, белый, IDDIS, BRI40W0i97 | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-23379f3008bc,"Умывальник мебельный, 60 см, 010, IDDIS, 0106000i28",IDDIS,True,Мебель для ванной,"Умывальник мебельный, 60 см, 010, IDDIS, 0106000i28 | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-23387a9ced08,"Тумба подвесная, белая, 100 см, Brick, IDDIS, BRI10W1i95. Подходит умывальник: 0101000i28",IDDIS,True,Мебель для ванной,"Тумба подвесная, белая, 100 см, Brick, IDDIS, BRI10W1i95. Подходит умывальник: 0101000i28 | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-2338a3bc8649,"Умывальник мебельный, 100 см, 010, IDDIS, 0101000i28",IDDIS,True,Мебель для ванной,"Умывальник мебельный, 100 см, 010, IDDIS, 0101000i28 | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-233b87e3b1c5,"Зеркало 60 см, Cloud, IDDIS, CLO6000i98",IDDIS,True,Мебель для ванной,"Зеркало 60 см, Cloud, IDDIS, CLO6000i98 | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-1753d079c1d2,"""Черный металл"" Ерш сантехнический, черный B1034P-5",Аквалиния,True,Аксессуары для ванной комнаты,"""Черный металл"" Ерш сантехнический, черный B1034P-5 | Brand: Аквалиния | Category: Аксессуары для ванной комнаты",-6.20053783151572e+17,2025-03-28 10:10:51.104148+00:00
